gols_mandante,gols_visitante,att_m,def_v,att_v,def_m,pred_gols_mandante,pred_gols_visitante
3,1,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3775092878202517,1.0250511364002022
3,4,0.6666666666666666,1.3333333333333333,3.0,1.3333333333333333,1.433246194295003,1.3341558323575908
1,1,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.433246194295003,1.0805322585442554
3,2,1.6666666666666667,1.6666666666666667,2.333333333333333,0.3333333333333333,1.6834195355724721,1.0469174936857912
1,1,2.0,1.0,2.333333333333333,1.6666666666666667,1.6107682566068247,1.2567784110565268
2,2,3.0,2.333333333333333,3.0,3.333333333333333,2.1452749945241827,1.7547931950575126
1,1,1.3333333333333333,1.6666666666666667,1.0,2.0,1.6179537435923825,1.0654337585537748
3,1,1.6666666666666667,3.0,2.333333333333333,1.3333333333333333,1.9905059789675421,1.2006658214454755
3,1,0.6666666666666666,0.3333333333333333,1.3333333333333333,2.333333333333333,1.263986555277669,1.175588212187184
3,1,1.6666666666666667,0.6666666666666666,0.6666666666666666,2.333333333333333,1.4846156008124145,1.0579638091999322
2,4,1.0,0.75,2.0,1.25,1.3858291498827326,1.1260840356268333
0,2,1.6,1.0,1.25,1.2,1.5358950777610574,0.9933169687739755
1,1,1.75,1.25,1.5,1.5,1.6134590669731619,1.0767376919083422
3,0,1.6,1.75,3.25,1.2,1.6877002147535596,1.3628281253988335
4,1,2.6,3.0,2.0,2.0,2.2243187289672006,1.24796690963354
1,0,0.75,1.5,1.0,1.25,1.4781678531338176,0.9613780119198885
1,1,1.25,1.25,1.5,1.75,1.520262418416461,1.1142620487250767
0,0,1.25,1.25,2.0,2.0,1.520262418416461,1.24796690963354
3,1,2.0,3.0,2.75,2.0,2.0710460134835373,1.4051106724147895
4,4,0.75,2.75,1.5,1.25,1.7296040023515213,1.0404770210944834
1,0,1.5,2.0,2.25,1.25,1.720964900578707,1.171493695431005
2,1,1.25,2.25,2.75,1.0,1.7238397959434413,1.2251826588556314
1,0,1.25,1.75,1.25,2.0,1.618854180321228,1.1083976786424523
1,1,1.8,1.8,3.0,1.8,1.7392418610031752,1.4222559140863376
3,1,1.6,1.8,1.2,1.0,1.6983383747146503,0.9588531194511033
0,3,1.4,1.0,1.4,1.2,1.4997739006767061,1.017160173127816
1,2,2.4,1.6,1.2,1.0,1.821593977946177,0.9588531194511033
0,1,1.4,1.6,1.0,1.2,1.617233754827202,0.9548138288888375
7,0,1.8,1.6,1.2,3.2,1.6960721038224367,1.2962041459050397
4,0,1.4,1.0,0.8,0.8,1.4997739006767061,0.8757486985766706
1,1,2.4,1.0,2.0,2.2,1.6892914197462083,1.2826406753966733
5,2,2.0,1.8,2.2,3.0,1.7811304838319,1.4772298833772912
4,2,0.8,1.0,1.4,1.4,1.396427911914124,1.0454211577055068
1,0,2.4,1.4,1.6,3.0,1.7763801572159914,1.343513747160947
0,0,1.0,1.8,1.4,1.6,1.5813097622623815,1.0744673512113494
5,2,2.4,1.8,1.2,1.6,1.8679586162965196,1.0410171882859462
2,1,1.4,1.0,1.4,2.4,1.4997739006767061,1.198949736386469
2,1,1.8,1.6,1.2,1.0,1.6960721038224367,0.9588531194511033
1,2,0.8,1.8,2.6,1.8,1.544120522727115,1.3350794209850811
1,1,0.8,1.6,1.2,2.6,1.5057938762045455,1.1938990083275258
0,0,1.2,2.2,2.2,1.2,1.7028800050359831,1.1543317478586315
3,2,2.2,1.4,0.8,2.4,1.7346032525582447,1.0904230080341584
2,1,1.4,0.8,1.8,1.6,1.4625479825511625,1.1446266946617105
2,1,1.2,1.4,2.0,1.6,1.540002308545804,1.181406058015203
1,3,1.4,0.4,1.8,1.8,1.390845167828789,1.1764292349298526
2,0,1.2,3.0,2.6,1.2,1.8829843925945653,1.2297059855796424
2,1,1.8,2.8,2.8,0.8,1.9721426369869546,1.201524784857759
3,2,1.4,1.8,1.4,1.2,1.6583968565273248,1.017160173127816
1,1,2.2,1.0,1.4,2.0,1.649562667826072,1.1350032367754355
0,2,2.4,2.0,2.8,0.6,1.9155033637795138,1.1690438338417055
3,0,2.4,1.8,1.2,1.4,1.8679586162965196,1.0128752566955892
1,0,1.0,1.6,1.8,1.2,1.542060040878017,1.0835775378341967
3,0,1.2,1.0,2.0,1.2,1.4645022213561352,1.1183952580320164
2,1,1.0,2.0,0.8,1.8,1.6215584983335367,1.0043595000543022
2,2,2.4,1.0,1.0,3.0,1.6892914197462083,1.2219013500347913
2,2,2.2,2.0,2.4,1.8,1.8704545598536548,1.29351592061445
2,0,1.6,2.6,1.0,2.2,1.877962418652354,1.0950359862210743
1,1,1.0,2.2,1.6,1.4,1.6628316767966795,1.079012829816599
3,0,0.6,0.8,1.0,1.4,1.3297411098714822,0.9813425699914471
1,1,0.6,0.6,2.2,2.8,1.2967355790631983,1.4372957662570118
3,0,1.2,1.0,1.2,0.6,1.4645022213561352,0.907712276120325
2,0,0.8,2.0,2.2,1.2,1.583422689111253,1.1543317478586315
